version_id,date,description,source
PV-2026Q1,2026-01-15,Base interna com cota??es Q1/2026,Compras + fornecedores homologados
PV-2026Q2,2026-02-20,Atualiza??o preliminar Q2/2026,Pr?-cota??es fevereiro/2026
